gRNA	gene	S1	S2	S3
ACADSB_-_124768552.23-P1P2|ACADSB_+_124768710.23-P1P2	ACADSB	   nan	   nan	   nan
ACADS_-_121163671.23-P1P2|ACADS_+_121163685.23-P1P2	ACADS	   nan	   nan	   nan
ACADVL_-_7123283.23-P1P2|ACADVL_-_7123242.23-P1P2	ACADVL	   nan	   nan	   nan
ACAN_-_89346701.23-P1P2|ACAN_+_89346671.23-P1P2	ACAN	   nan	   nan	   nan
ACAP1_+_7239854.23-P1P2|ACAP1_+_7239956.23-P1P2	ACAP1	   nan	   nan	   nan
ACAP2_+_195163707.23-P1P2|ACAP2_+_195163701.23-P1P2	ACAP2	   nan	   nan	   nan
ACAP3_+_1243258.23-P1P2|ACAP3_+_1243337.23-P1P2	ACAP3	   nan	   nan	   nan
ACAT1_+_107992310.23-P1P2|ACAT1_+_107992321.23-P1P2	ACAT1	   nan	   nan	   nan
ACAT2_-_160183054.23-P1P2|ACAT2_-_160183042.23-P1P2	ACAT2	   nan	   nan	   nan
ACBD3_-_226374411.23-P1P2|ACBD3_+_226374366.23-P1P2	ACBD3	   nan	   nan	   nan
ACBD4_+_43210042.23-P2|ACBD4_+_43210060.23-P2	ACBD4	   nan	   nan	   nan
ACBD4_-_43213072.23-P1|ACBD4_-_43213050.23-P1	ACBD4	   nan	   nan	   nan
ACBD5_+_27529701.23-P1P2|ACBD5_+_27529710.23-P1P2	ACBD5	   nan	   nan	   nan
ACBD6_+_180471319.23-P1P2|ACBD6_+_180471354.23-P1P2	ACBD6	   nan	   nan	   nan
ACBD7_+_15130776.23-P1P2|ACBD7_+_15130765.23-P1P2	ACBD7	   nan	   nan	   nan
ACCSL_-_44069582.23-ENST00000378832.1|ACCSL_+_44069616.23-ENST00000378832.1	ACCSL	   nan	   nan	   nan
ACCS_+_44088091.23-P1P2|ACCS_-_44088090.23-P1P2	ACCS	   nan	   nan	   nan
ACD_-_67694143.23-P1P2|ACD_+_67694124.23-P1P2	ACD	   nan	   nan	   nan
ACE2_-_15619013.23-P1P2|ACE2_-_15618975.23-P1P2	ACE2	   nan	   nan	   nan
ACER1_-_6333545.23-P1P2|ACER1_-_6333558.23-P1P2	ACER1	   nan	   nan	   nan
ACER2_+_19409007.23-P1P2|ACER2_-_19409274.23-P1P2	ACER2	   nan	   nan	   nan
ACER3_-_76572003.23-P1P2|ACER3_-_76571978.23-P1P2	ACER3	   nan	   nan	   nan
ACE_-_61554428.23-P1|ACE_+_61554448.23-P1	ACE	   nan	   nan	   nan
ACE_-_61562443.23-P2|ACE_+_61562272.23-P2	ACE	   nan	   nan	   nan
ACHE_+_100493473.23-P1|ACHE_-_100493486.23-P1	ACHE	   nan	   nan	   nan
ACHE_+_100494559.23-P2|ACHE_-_100494578.23-P2	ACHE	   nan	   nan	   nan
ACIN1_-_23540292.23-P2|ACIN1_-_23540730.23-P2	ACIN1	   nan	   nan	   nan
ACIN1_-_23564284.23-P1|ACIN1_+_23563962.23-P1	ACIN1	   nan	   nan	   nan
ACKR2_-_42851020.23-P1P2|ACKR2_-_42850976.23-P1P2	ACKR2	   nan	   nan	   nan
ACKR3_+_237478500.23-P1|ACKR3_-_237478615.23-P1	ACKR3	   nan	   nan	   nan
ACKR3_-_237476505.23-P2|ACKR3_-_237476493.23-P2	ACKR3	   nan	   nan	   nan
ACKR4_-_132316171.23-P1P2|ACKR4_-_132316167.23-P1P2	ACKR4	   nan	   nan	   nan
ACLY_-_40075227.23-P1P2|ACLY_+_40075121.23-P1P2	ACLY	   nan	   nan	   nan
