gRNA	gene	S1	S2	S3
ABHD6_+_58223718.23-P1P2|ABHD6_-_58223594.23-P1P2	ABHD6	4.110722e-01	8.454863e-01	6.913388e-01
ABHD8_-_17414201.23-P1P2|ABHD8_-_17414169.23-P1P2	ABHD8	-7.422474e-02	3.275750e-02	2.168248e-01
ABI1_-_27149837.23-P1P2|ABI1_-_27149855.23-P1P2	ABI1	6.830451e-01	7.587201e-01	6.047754e-01
ABI2_-_204193288.23-P1P2|ABI2_+_204193079.23-P1P2	ABI2	4.823905e-01	2.610697e-01	8.226851e-01
ABI3BP_-_100712220.23-P1P2|ABI3BP_-_100712267.23-P1P2	ABI3BP	-5.245925e-01	-5.948193e-01	-4.722466e-01
ABI3_-_47288028.23-P1P2|ABI3_+_47287798.23-P1P2	ABI3	-8.470406e-01	-4.576673e-01	-5.702648e-01
ABL1_-_133589228.23-ENST00000372348.2|ABL1_-_133589216.23-ENST00000372348.2	ABL1	-1.247374e-01	7.128795e-01	-1.900043e+00
ABL2_+_179111875.23-P1|ABL2_-_179112151.23-P1	ABL2	1.257882e-01	5.492453e-01	2.556025e-01
ABL2_+_179198340.23-P2|ABL2_+_179198740.23-P2	ABL2	-5.309453e-01	-2.576869e-01	-7.726351e-01
ABLIM1_+_116418018.23-ENST00000277895.5|ABLIM1_-_116417810.23-ENST00000277895.5	ABLIM1	4.276009e-01	-8.260002e-02	2.441877e-01
ABLIM2_+_8160523.23-P1P2|ABLIM2_+_8160328.23-P1P2	ABLIM2	2.540393e-02	4.507300e-02	3.208116e-01
ABLIM3_-_148521229.23-P1P2|ABLIM3_+_148521102.23-P1P2	ABLIM3	2.727488e-01	-2.311370e-02	4.367300e-01
ABO_+_136150601.23-P1|ABO_+_136150587.23-P1	ABO	-2.678489e-02	-5.355002e-01	-8.133170e-02
ABO_-_136130921.23-P2|ABO_-_136130959.23-P2	ABO	-2.751504e-01	1.668597e-02	-5.757594e-03
ABRACL_+_139349876.23-P1P2|ABRACL_+_139349879.23-P1P2	ABRACL	-7.764491e-02	6.900138e-01	3.688144e-01
ABRA_+_107782422.23-P1P2|ABRA_+_107782407.23-P1P2	ABRA	2.843012e-01	-5.398170e-01	1.175103e+00
